episode,reward,length,success,cliff_hits,lure_visits,avg_td_error,epsilon
380,382.0,200,0,0,97,8.469017335043684,0.022440827205672833
381,315.0,200,0,1,89,6.604609478223818,0.02232862306964447
382,52.0,200,0,0,42,14.118633185779375,0.022216979954296247
383,28.0,200,0,0,38,7.183186486823468,0.022105895054524767
384,357.0,200,0,1,96,4.751318767661704,0.021995365579252142
385,808.0,200,0,0,168,6.864264385666308,0.021885388751355882
386,867.0,200,0,1,181,8.95372803943018,0.021775961807599102
387,321.0,200,0,1,90,7.719631990736002,0.021667081998561107
388,435.0,200,0,1,109,5.800964927350643,0.021558746588568302
389,320.0,200,0,2,93,3.1002046391549705,0.02145095285562546
390,364.0,200,0,0,94,4.1190449856196105,0.021343698091347334
391,370.0,200,0,0,95,2.5326753354901195,0.021236979600890597
392,-152.0,200,0,0,8,6.122831905957533,0.021130794702886143
393,339.0,200,0,1,93,1.8383448059586949,0.021025140729371714
394,31.0,200,0,9,67,8.674964567597398,0.020920015025724856
395,825.0,200,0,1,174,7.704032091643696,0.02081541495059623
396,866.0,200,0,2,184,6.143824744837218,0.02071133787584325
397,673.0,200,0,3,155,11.34345933853378,0.020607781186464034
398,829.0,200,0,3,181,12.308517553098595,0.020504742280531712
399,915.0,200,0,1,189,9.853668048091336,0.020402218569129053
400,762.0,200,0,4,173,10.393194694862691,0.020300207476283406
401,-77.0,200,0,21,87,15.322995230384159,0.020198706438901988
402,262.0,200,0,12,115,8.579719892323645,0.020097712906707477
403,897.0,200,0,1,186,6.397117415764507,0.02
404,903.0,200,0,1,187,7.332753583635313,0.02
405,848.0,200,0,2,181,7.001720135321778,0.02
406,314.0,200,0,2,92,9.229613253448862,0.02
407,-336.0,200,0,22,47,10.408597692091469,0.02
408,126.0,200,0,4,67,4.163930242800903,0.02
409,53.0,200,0,5,58,6.493939279772826,0.02
410,32.0,200,0,8,64,4.609822772863858,0.02
411,-311.0,200,0,9,10,6.844007973542773,0.02
412,-116.0,200,0,0,14,5.781516533419707,0.02
413,20.0,200,0,2,43,3.81565028047835,0.02
414,-9.0,200,0,1,35,3.717634120067815,0.02
415,99.0,200,0,1,53,3.8117925861032664,0.02
416,370.0,200,0,0,95,1.9660515507492762,0.02
417,747.0,200,0,1,161,10.701545846907557,0.02
418,873.0,200,0,1,182,10.548960860375955,0.02
419,855.0,200,0,1,179,10.400645817007499,0.02
420,824.0,200,0,2,177,12.920625391636099,0.02
421,394.0,200,0,0,99,6.787969988472321,0.02
422,801.0,200,0,1,170,11.097818383199119,0.02
423,370.0,200,0,0,95,6.875162467319915,0.02
424,-194.0,200,0,0,1,12.709238250300926,0.02
425,-200.0,200,0,0,0,6.071910932575502,0.02
426,357.0,200,0,1,96,2.7618952418772595,0.02
427,-219.0,200,0,1,0,6.371618657294927,0.02
428,-200.0,200,0,0,0,5.506199445044448,0.02
429,-57.0,200,0,1,27,6.230387171053919,0.02
430,118.0,200,0,0,53,6.35934008479116,0.02
431,976.0,200,0,0,196,6.090156629429321,0.02
432,897.0,200,0,1,186,7.9774247988706986,0.02
433,927.0,200,0,1,191,5.31278869850757,0.02
434,670.0,200,0,0,145,10.232754565198643,0.02
435,940.0,200,0,0,190,10.185277923505394,0.02
436,370.0,200,0,0,95,2.902033473949265,0.02
437,663.0,200,0,1,147,7.943963150262075,0.02
438,370.0,200,0,0,95,5.254699480594096,0.02
439,742.0,200,0,0,157,9.312748061322607,0.02
